[2025-06-23 09:18:27] IP: 172.23.2.19 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-23 09:18:43] IP: 172.23.2.19 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-23 09:21:39] IP: 172.23.2.19 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-06-23 09:23:50] IP: 172.23.2.19 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: IP Pública
[2025-06-23 09:24:01] IP: 172.23.2.19 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-06-23 09:24:25] IP: 172.23.151.196 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Reporte Firmware SV
[2025-06-23 17:19:08] IP: 172.23.9.184 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-23 17:19:10] IP: 172.23.9.184 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-23 17:19:33] IP: 172.23.9.184 | Usuario: minero.rodolfo | Página: Desconocido | Elemento: No especificado
[2025-06-23 17:19:38] IP: 172.23.9.184 | Usuario: minero.rodolfo | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-24 14:00:30] IP: 172.26.8.129 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-24 14:00:33] IP: 172.26.8.129 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-24 14:00:35] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-24 14:26:50] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-06-24 14:41:35] IP: 172.26.8.129 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-24 14:41:41] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: IP Pública
[2025-06-24 14:41:51] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-06-25 12:05:24] IP: 172.26.8.129 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-25 12:05:32] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-25 12:07:59] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-06-25 12:09:56] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: IP Pública
[2025-06-25 12:10:05] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-06-25 15:27:22] IP: 172.16.70.82 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-25 15:27:31] IP: 172.16.70.82 | Usuario: gerson.sanchez | Página: Desconocido | Elemento: No especificado
[2025-06-25 15:27:35] IP: 172.16.70.82 | Usuario: gerson.sanchez | Página: Desconocido | Elemento: No especificado
[2025-06-25 15:27:40] IP: 172.16.70.82 | Usuario: gerson.sanchez | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-26 08:43:01] IP: 172.28.27.198 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-26 08:43:03] IP: 172.28.27.198 | Usuario: jose.orellana | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-06-26 08:43:46] IP: 172.28.51.17 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-26 08:43:47] IP: 172.28.51.17 | Usuario: jose.orellana | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-06-26 08:44:52] IP: 172.28.51.17 | Usuario: jose.orellana | Página: Desconocido | Elemento: No especificado
[2025-06-26 09:31:42] IP: 172.23.9.184 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-26 09:31:59] IP: 172.23.9.184 | Usuario: minero.rodolfo | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-26 12:27:37] IP: 172.16.68.252 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-26 12:28:02] IP: 172.16.68.252 | Usuario: Invitado | Página: http://172.16.68.252:888/monitoreos/dump_axess/recuperar.php | Elemento: No especificado
[2025-06-26 12:28:32] IP: 172.16.68.252 | Usuario: Invitado | Página: http://172.16.68.252:888/monitoreos/dump_axess/recuperar.php?success=Contrase%C3%B1a+actualizada+exitosamente | Elemento: No especificado
[2025-06-26 12:28:32] IP: 172.16.68.252 | Usuario: Invitado | Página: http://172.16.68.252:888/monitoreos/dump_axess/recuperar.php?success=Contrase%C3%B1a+actualizada+exitosamente | Elemento: No especificado
[2025-06-26 12:29:13] IP: 172.16.68.252 | Usuario: Invitado | Página: http://172.16.68.252:888/monitoreos/dump_axess/recuperar.php?success=Contrase%C3%B1a+actualizada+exitosamente | Elemento: No especificado
[2025-06-26 12:29:18] IP: 172.16.68.252 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
